,note,pro,con,anonymous,tutorial,topic,month,date
2200,5,Great flow of tutorial,Not much,,"Mutation calling, viral genome reconstruction and lineage/clade assignment from SARS-CoV-2 sequencing data",Variant Analysis,2021-08,2021-08-12
2201,5,The tutorial is very detailed,,,"Mutation calling, viral genome reconstruction and lineage/clade assignment from SARS-CoV-2 sequencing data",Variant Analysis,2021-08,2021-08-12
2202,4,Clear and systematic,Instructions can be more specific (e.g. names of tools),,NGS data logistics,Introduction to Galaxy Analyses,2021-08,2021-08-12
2203,5,Everything,None,,Quality Control,Sequence analysis,2021-08,2021-08-12
2204,4,The step-by-step analysis,Clear sound/tone of presenter,,NGS data logistics,Introduction to Galaxy Analyses,2021-08,2021-08-12
2205,5,,,,Mapping,Sequence analysis,2021-08,2021-08-12
2206,5,The details,,,Quality Control,Sequence analysis,2021-08,2021-08-12
2207,5,,,,Mapping,Sequence analysis,2021-08,2021-08-12
2208,5,,,,Using dataset collections,Using Galaxy and Managing your Data,2021-08,2021-08-12
2209,4,,,,Submitting raw sequencing reads to ENA,Using Galaxy and Managing your Data,2021-08,2021-08-12
2210,5,the easy step by step guide ,nothing,,Galaxy 101,Introduction to Galaxy Analyses,2021-08,2021-08-12
2211,5,your explanation of each plaot,,,Quality Control,Sequence analysis,2021-08,2021-08-12
2212,3,,,,NGS data logistics,Introduction to Galaxy Analyses,2021-08,2021-08-12
2213,5,,,,Removal of human reads from SARS-CoV-2 sequencing data,Sequence analysis,2021-08,2021-08-13
2214,5,,,,Submitting raw sequencing reads to ENA,Using Galaxy and Managing your Data,2021-08,2021-08-13
2215,5,,,,Visualization of RNA-Seq results with Volcano Plot,Transcriptomics,2021-08,2021-08-13
2216,5,The activity was very interactive with a good combination of theory and practical,The last step on NCBI BLAST search was not clear enough to a biginner like me,,Unicycler assembly of SARS-CoV-2 genome with preprocessing to remove human genome reads,Assembly,2021-08,2021-08-13
2217,4,short but precise information about technique,little bit more information about difference in data analysis part of labelled vs label-free methods.,,Label-free versus Labelled - How to Choose Your Quantitation Method,Proteomics,2021-08,2021-08-14
2218,4,training is great,,,Quality Control,Sequence analysis,2021-08,2021-08-14
2219,5,,"Maybe some more ""solutions"" along the way to help users check themselves for mistakes",,De novo transcriptome reconstruction with RNA-Seq,Transcriptomics,2021-08,2021-08-15
2220,5,The simplicity of the step by step guide,If the tool needed for each step is clearly listed,,NGS data logistics,Introduction to Galaxy Analyses,2021-08,2021-08-17
2221,5,It is reproducable,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-08,2021-08-17
2222,5,The way you collect all the necessary info including the definition of each step and the examples of errors ,Optional document for other examples of the bad quality data with more clear explanation ,,Quality Control,Sequence analysis,2021-08,2021-08-18
2223,4,,,,Understanding Galaxy history system,Using Galaxy and Managing your Data,2021-08,2021-08-18
2224,4,,,,Age prediction using machine learning,Statistics and machine learning,2021-08,2021-08-19
2225,5,the brief explanation of each step,,,Quality Control,Sequence analysis,2021-08,2021-08-19
2226,5,,"nothing, I loved it very clear and well explained!",,Visualisation with Circos,Visualisation,2021-08,2021-08-19
2227,5,,,,Breve introducción a Galaxy - en español,Introduction to Galaxy Analyses,2021-08,2021-08-19
2228,5,,,,Setting up molecular systems,Computational chemistry,2021-08,2021-08-21
2230,5,Good for beginners,More explanation and examples,,NGS data logistics,Introduction to Galaxy Analyses,2021-08,2021-08-21
2231,5,Well described steps for analysis of proteomic data,Include statistical analysis methods,,Label-free data analysis using MaxQuant,Proteomics,2021-08,2021-08-23
2232,5,,,,Exome sequencing data analysis for diagnosing a genetic disease,Variant Analysis,2021-08,2021-08-24
2233,5,,,,Advanced R in Galaxy,Foundations of Data Science,2021-08,2021-08-25
2234,5,It is clear and answered my questions,I am new to Galaxy so it work worked for my needs as is...,,Downloading and Deleting Data in Galaxy,Using Galaxy and Managing your Data,2021-08,2021-08-27
2235,5,the instructions were detailed and precise,i think it was fine ,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-08,2021-08-27
2236,5,,,,Basics of machine learning,Statistics and machine learning,2021-08,2021-08-27
2237,5,,,,Chloroplast genome assembly,Assembly,2021-08,2021-08-31
2238,5,,,,Quality Control,Sequence analysis,2021-08,2021-08-31
2239,5,Steps were clear and friendly ,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-09,2021-09-01
2240,4,how to work on my on data,,,From NCBI's Sequence Read Archive (SRA) to Galaxy: SARS-CoV-2 variant analysis,Variant Analysis,2021-09,2021-09-01
2241,5,good explaination,difficult to say,,Galaxy 101,Introduction to Galaxy Analyses,2021-09,2021-09-01
2242,5,,,,ATAC-Seq data analysis,Epigenetics,2021-09,2021-09-02
2243,5,,,,Visualisation with Circos,Visualisation,2021-09,2021-09-02
2244,5,,,,Quality Control,Sequence analysis,2021-09,2021-09-03
2245,4,,,,Analyses of metagenomics data - The global picture,Metagenomics,2021-09,2021-09-06
2246,4,"Great introduction to Galaxy, simple, easy to follow","Clearer explanation of why something is done. Perhaps similar to the 'tips', added detail for those that want to delve deeper. Also more up-to-date visuals of the steps involved The final output is a little lack-lustre. maybe a nicer visualisation option to cap off the tutorial (kind of like a nice 'reward' for effort)",,From peaks to genes,Introduction to Galaxy Analyses,2021-09,2021-09-07
2247,5,,"Instructions about finding tutorial data in a Data Library need to be updated. In this tutorial and probably others. Tutorial data is now nested at usegalaxy.* servers -- and that change is confusing some learners. I've been telling people to search data libraries with the keyword ""GTN"" then to navigate down through the topic to the specific tutorial. Not all public servers will host the data in Data Libs, so even that advice needs a tune up to be consistent/accurate across tutorials. (@jennaj)",,DNA Methylation data analysis,Epigenetics,2021-09,2021-09-08
2248,5,Very well explained,,,Protein FASTA Database Handling,Proteomics,2021-09,2021-09-08
2249,4,"Hands on tutorial, that makes learning easier ",Can probably expand the training to involved more complicated thing. Maybe saperate training,,Galaxy 101 for everyone,Introduction to Galaxy Analyses,2021-09,2021-09-09
2251,5,Easy to follow step-by-step instructions,,,Galaxy 101 for everyone,Introduction to Galaxy Analyses,2021-09,2021-09-09
2252,1,"none of the essentials is working gx_put(), gx_get(), and gx_save()","none of the essentials is working gx_put(), gx_get(), and gx_save()",,R basics in Galaxy,Foundations of Data Science,2021-09,2021-09-09
2253,5,All of it,"My understanding now is that GEMINI is human only, so I followed this intending to do other species, but have to now find an alternative. Perhaps the title should be ""Variant calling in humans"" rather than ""diploid systems""?  Certainly would be useful to clarify the specificity of GEMINI in that step.  But, thanks so much for doing this brilliant tutorial!",,Calling variants in diploid systems,Variant Analysis,2021-09,2021-09-10
2254,5,Really clear,,,Annotating a protein list identified by LC-MS/MS experiments,Proteomics,2021-09,2021-09-11
2255,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-09,2021-09-13
2256,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-09,2021-09-14
2257,4,,"I think there is an error in the instructions around which galaxy release to use.  https://training.galaxyproject.org/archive/2021-08-01/topics/admin/tutorials/ansible-galaxy/tutorial.html#galaxy      step 9.   Fails with a pip install error for attmap at galaxy dependency installation:  FAILED! => {""changed"": false, ""cmd"": [""/srv/galaxy/venv/bin/pip3"", ""install"", ""--index-url"", ""https://wheels.galaxyproject.org/simple/"", ""--extra-index-url"", ""https://pypi.python.org/simple"", ""-r"", ""/srv/galaxy/server/lib/galaxy/dependencies/pinned-requirements.txt""], ""msg"": ""stdout: Looking in indexes: https://wheels.galaxyproject.org/simple, https://pypi.python.org/simple\nIgnoring importlib-metadata: markers 'python_version < \""3.8\""' don't match your environment\nIgnoring importlib-resources: markers 'python_version < \""3.7\""' don't match your environment\nIgnoring pathlib2: markers 'python_version < \""3.6\""' don't match your environment\nIgnoring ruamel.yaml.clib: markers 'platform_python_implementation == \""CPython\"" and python_version < \""3.8\""' don't match your environment\nIgnoring typing: markers 'python_version < \""3.5\""' don't match your environment\nIgnoring zipp: markers 'python_version < \""3.8\""' don't match your environment\nCollecting adal==1.2.4\n  Using cached adal-1.2.4-py2.py3-none-any.whl (55 kB)\nCollecting amqp==2.6.0\n  Using cached amqp-2.6.0-py2.py3-none-any.whl (47 kB)\nCollecting appdirs==1.4.4\n  Using cached appdirs-1.4.4-py2.py3-none-any.whl (9.6 kB)\nCollecting attmap==0.12.11\n  Using cached attmap-0.12.11.tar.gz (9.9 kB)\n\n:stderr:     ERROR: Command errored out with exit status 1:\n     command: /srv/galaxy/venv/bin/python -c 'import io, os, sys, setuptools, tokenize; sys.argv[0] = '\""'\""'/tmp/pip-install-rswp62oy/attmap_d1e6f1f187954e539109df4d7760fde7/setup.py'\""'\""'; __file__='\""'\""'/tmp/pip-install-rswp62oy/attmap_d1e6f1f187954e539109df4d7760fde7/setup.py'\""'\""';f = getattr(tokenize, '\""'\""'open'\""'\""', open)(__file__) if os.path.exists(__file__) else io.StringIO('\""'\""'from setuptools import setup; setup()'\""'\""');code = f.read().replace('\""'\""'\\r\\n'\""'\""', '\""'\""'\\n'\""'\""');f.close();exec(compile(code, __file__, '\""'\""'exec'\""'\""'))' egg_info --egg-base /tmp/pip-pip-egg-info-2gc_ov_9\n         cwd: /tmp/pip-install-rswp62oy/attmap_d1e6f1f187954e539109df4d7760fde7/\n    Complete output (1 lines):\n    error in attmap setup command: use_2to3 is invalid.\n    ----------------------------------------\nWARNING: Discarding https://files.pythonhosted.org/packages/d0/d4/8b8fca155270a6675bac9a1e49b7c616ae763f66af7b836042ecfc805552/attmap-0.12.11.tar.gz#sha256=95b1f7dbcdad7278a3702fa921be6271046c96e1c9ed9feb10e0d4c13092b0a0 (from https://pypi.org/simple/attmap/). Command errored out with exit status 1: python setup.py egg_info Check the logs for full command output.\nERROR: Could not find a version that satisfies the requirement attmap==0.12.11 (from versions: 0.1, 0.1.1, 0.1.2, 0.1.4, 0.1.5, 0.1.6, 0.1.7, 0.1.8, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 0.10, 0.11, 0.12, 0.12.1, 0.12.2, 0.12.3, 0.12.4, 0.12.5, 0.12.6, 0.12.7, 0.12.8, 0.12.9, 0.12.10, 0.12.11, 0.13.0)\nERROR: No matching distribution found for attmap==0.12.11\n""}   This occurs with galaxy_commit_id: release_20.09 (as per the instructions), but changing to  release_21.05 makes the error go away.  ",,Galaxy Installation with Ansible,Galaxy Server administration,2021-09,2021-09-14
2258,4,Good explanation!,Explanation on how to understand the figures in depth,,2: RNA-seq counts to genes,Transcriptomics,2021-09,2021-09-17
2259,5,,,,From peaks to genes,Introduction to Galaxy Analyses,2021-09,2021-09-17
2260,5,,It would be great if this can be updated based on the newest version of the packages used in the tutorial. Some of the parameters cannot be set as shown in this tutorial or should be set in a different way.,,DNA Methylation data analysis,Epigenetics,2021-09,2021-09-20
2261,5,,,,Introduction to Genomics and Galaxy,Introduction to Galaxy Analyses,2021-09,2021-09-21
2262,5,,,,16S Microbial analysis with Nanopore data,Metagenomics,2021-09,2021-09-26
2263,5,,,,Reference-based RNA-Seq data analysis,Transcriptomics,2021-09,2021-09-27
2264,5,,,,Extracting Workflows from Histories,Using Galaxy and Managing your Data,2021-09,2021-09-28
2265,5,,,,Introduction to Genomics and Galaxy,Introduction to Galaxy Analyses,2021-09,2021-09-28
2266,3,The short list of ways to add group tags.,How to add different group tags via workflow to members of a collection.,,Group tags for complex experimental designs,Using Galaxy and Managing your Data,2021-09,2021-09-29
2267,5,great,including other QC parameters as well,,Quality Control,Sequence analysis,2021-10,2021-10-01
2268,3,,,,"Tools, Data, and Workflows for tutorials",Contributing to the Galaxy Training Material,2021-10,2021-10-08
2269,5,,,,Genome annotation with Maker (short),Genome Annotation,2021-10,2021-10-08
2270,4,Clear introduction in using galaxy to explore/map climate data. ,More detailed explanation of the inputs @map plot gridded (lat/lon) netCDF data. Did not understand the R as input “variable name as given in the netCDF file”. For other Essential Climate Variables I guess Ill have to change that input?  ,,Getting your hands-on climate data,Climate,2021-10,2021-10-08
2271,4,simple enough to follow,It would be nice if a bit more background of machine learning is described. ,,Basics of machine learning,Statistics and machine learning,2021-10,2021-10-09
2272,5,quick and simple,none,,Genome annotation with Prokka,Genome Annotation,2021-10,2021-10-10
2273,5,"The tutorial is so detailed that even a preschooler would get it by simply following the steps! I found it so useful, I'm going to make my first contribution right away!","I'd suggest each of the topics under the ""objectives"" in the overview box be made clickable, so each topic can be reached right from the top without having to scroll all the way down the page.",,Contributing with GitHub via its interface,Contributing to the Galaxy Training Material,2021-10,2021-10-11
2274,5,"I especially loved how simplified the tutorial was, even as a beginner I was able to run my analysis and publish it. Thank You!",It is fine as it is...maybe extra datasets to practice with.,,Galaxy 101,Introduction to Galaxy Analyses,2021-10,2021-10-11
2275,5,How it shows you that you to make adaptable workflows,,,Galaxy 101,Introduction to Galaxy Analyses,2021-10,2021-10-11
2276,3,,,,Introduction to Genomics and Galaxy,Introduction to Galaxy Analyses,2021-10,2021-10-11
2277,5,It like the different tools and the much they can do. it makes analysis easy,"If the ""Tools"" on click or hover and give a little info on what the tool does, it would be nice.",,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-10,2021-10-12
2278,5,Very detailed,"It would help if the sites name and the drop-down  button at the top is static. So even when I scroll to to end of this page, I can easily click on the drop-down button and access other files without having to scroll all the way back up",,Running the GTN website online using GitPod,Contributing to the Galaxy Training Material,2021-10,2021-10-12
2279,4,I love that h training material was straight forward and essay to understand and comprehend,"I had a major challenge, as while using the platform to learn step by step, on the material provided,  I created a Galaxy account, I got handily with the platform , it was said after uploading a file, go to tools to search for FastQC and execute, but it was not bringing out parameters as seen on the project training material, likewise Filter by quality. There by preventing me from going further with the short introduction to Galaxy. In a Nutshell what was listed in the training material is not popping up when I search for this tools. I do not know what I may be doing wrong",,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-10,2021-10-13
2280,3,"I liked that the tutorial was very informative, I learnt a lot of new and exciting things. It was short but had a lot of examples packed in it. I also enjoyed trying trying different analysis on the platform.","1. In the ""Upload a file"" section. I suggest that the disclaimer should be added so a user knows that they would not be able to upload a file if their email is not verified.  2. I appreciate that a lot of information was included in this tutorial, however I believe that the page could be improved to engage a reader more. The spacing between the sections and the fonts and colours are quite confusing. 3. The ""Use a tool"" could be more descriptive. No 3 : No change in the other parameters could be changed to "" No changes should be made on the other parameters"" . I believe thie would be easier for a user to understand. 4. I am also not sure why we have a ""Questions"" section. It deviates from teaching a user how to navigate the platform to explaining the analysis of the result. I suggest this is moved to a follow up section. 5. The icons in ""Hands-on: Re-run the tool""  section should be updated to tally with what is currently in use. 6. I believe the tutorial should be more descriptive. More pictures should be used as seen in ""Look at all your histories"" section. Thank you.",,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-10,2021-10-13
2281,5, It was well detailed only a few to crack about.,some illustration needs to be more detailed,,From peaks to genes,Introduction to Galaxy Analyses,2021-10,2021-10-13
2282,5,Very nice intro. Learned about the difference between climate and weather!,,,Getting your hands-on climate data,Climate,2021-10,2021-10-14
2283,5,I love that you have to pay close to every little details, for now  nothing,,Galaxy 101,Introduction to Galaxy Analyses,2021-10,2021-10-14
2284,5,Basically the fact that you can always get your way around,None for now,,Introduction to Genomics and Galaxy,Introduction to Galaxy Analyses,2021-10,2021-10-15
2287,5,Clarity,Please add Bracken,,16S Microbial analysis with Nanopore data,Metagenomics,2021-10,2021-10-16
2288,4,learning of workflows ,,,From peaks to genes,Introduction to Galaxy Analyses,2021-10,2021-10-18
2289,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-10,2021-10-19
2290,2,,,,NGS data logistics,Introduction to Galaxy Analyses,2021-10,2021-10-19
2291,5,This tutorial is very helpful,After the functional annotation  how to recognise genes related ,,Genome annotation with Maker,Genome Annotation,2021-10,2021-10-20
2292,3,,,,Mapping,Sequence analysis,2021-10,2021-10-20
2293,5,"Re-usability, Usages and all are awesome","Wokflow creating, checking , unchecking while editing are little bit confusing to me",,Galaxy 101 for everyone,Introduction to Galaxy Analyses,2021-10,2021-10-21
2295,5,,,,Visualize Climate data with Panoply netCDF viewer,Climate,2021-10,2021-10-21
2296,4,Explanation is naïve ,Importing the iris workflow is generating error while making plot. Have a look on it.,,How to reproduce published Galaxy analyses,Introduction to Galaxy Analyses,2021-10,2021-10-22
2297,4,,,,Ansible,Galaxy Server administration,2021-10,2021-10-22
2298,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-10,2021-10-22
2299,1,,"I have got the following error. The tutorial did not work for me.  training-material$ make serve find: ‘_site/training-material’: No such file or directory find: ‘_site/training-material/*/*/slides/*’: No such file or directory find: ‘_site/training-material’: No such file or directory Tip: Want faster builds? Use 'serve-quick' in place of 'serve'. Tip: to serve in incremental mode (faster rebuilds), use the command: make serve FLAGS=--incremental  mv: cannot stat 'Gemfile': No such file or directory mv: cannot stat 'Gemfile.lock': No such file or directory Configuration file: /home/alice/scchoi/downloads/training-material/_config.yml   Dependency Error: Yikes! It looks like you don't have /home/alice/scchoi/downloads/training-material/_plugins/jekyll-environment_variables.rb or one of its dependencies installed. In order to use Jekyll as currently configured, you'll need to install this gem. If you've run Jekyll with `bundle exec`, ensure that you have included the /home/alice/scchoi/downloads/training-material/_plugins/jekyll-environment_variables.rb gem in your Gemfile as well. The full error message from Ruby is: 'cannot load such file -- bibtex' If you run into trouble, you can find helpful resources at https://jekyllrb.com/help/!                     ------------------------------------------------       Jekyll 4.2.1   Please append `--trace` to the `serve` command                      for any additional information or backtrace.                     ----------------------------",,Running the GTN website locally,Contributing to the Galaxy Training Material,2021-10,2021-10-23
2300,3,,,,Running the GTN website online using GitPod,Contributing to the Galaxy Training Material,2021-10,2021-10-23
2301,1,,,,Regression in Machine Learning,Statistics and machine learning,2021-10,2021-10-25
2302,5,"Clarity, granularity, hands-on","Could have a similar tutorial for long read assembly (Nanopore, PB) , and I suppose 'hybrid assembly' , but this one is probably adequate for all these  purposes.",,An Introduction to Genome Assembly,Assembly,2021-10,2021-10-26
2303,1,,,,Connecting Galaxy to a compute cluster,Galaxy Server administration,2021-10,2021-10-27
2304,4,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-10,2021-10-27
2305,5,"it was really great and very informative tutorial, documintation and blasting over represnted sequences , made me feel getting on more with the tools and the data",the part which talks about the best alingment algorithm for adapters was not very clear for me,,Quality Control,Sequence analysis,2021-10,2021-10-27
2306,5,,,,Galaxy 101 for everyone,Introduction to Galaxy Analyses,2021-10,2021-10-27
2307,1,yes,yes,,Analysis of molecular dynamics simulations,Computational chemistry,2021-10,2021-10-28
2308,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-10,2021-10-28
2309,5,The hands on part,Add a video ,,Quality Control,Sequence analysis,2021-10,2021-10-31
2310,4,"Simple, makes the user understand how to use Galaxy ",More user friendly data examples for any kind of student who is not from biology background to experiment with and analyze,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-10,2021-10-31
2311,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-10,2021-10-31
2312,1,The overall design,"The fact that only one gene was differentially expressed means that there is a major problem with the data or analysis, and could not be used. ",,Reference-based RNAseq data analysis (long),Transcriptomics,2021-11,2021-11-01
2313,5,"La facilidad de interfaz que tiene la pagina, se entiende muy rápido y claramente los pasos que se deben realizar para cargar un documento, y el como se visualizan, analizan e interpretación de los diferentes datos. ",Aun me toca explorar la pagina por el momento este tutorial introductorio es bastante útil y fácil para quien apenas esta escudriñando con el programa. ,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-11,2021-11-01
2314,5,  All the steps are fully documented and they always suggest further readings for important topics related to the tutorial.,"It is great to me, exactly how it is. ",,De novo transcriptome reconstruction with RNA-Seq,Transcriptomics,2021-11,2021-11-01
2315,5,Everything,More Videos ,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-11,2021-11-02
2316,5,Explications,More videos ,,Quality Control,Sequence analysis,2021-11,2021-11-02
2317,4,,,,Pre-processing of 10X Single-Cell RNA Datasets,Transcriptomics,2021-11,2021-11-04
2318,5,"Really clearly written and well explained, including details that can go wrong or be confusing (the cowsay bit gave me a chuckle). Not overwhelming, unlike some other tutorials I tried. ",,,Ansible,Galaxy Server administration,2021-11,2021-11-04
2319,4,,This doesn't tell me what library or package heatmap2 function is in - i can't seem to find it elsewhere.,,Visualization of RNA-Seq results with heatmap2,Transcriptomics,2021-11,2021-11-04
2320,5,Ease of explanation,Nothing I think,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-11,2021-11-06
2321,5,i understand better quality control of the data,more examples or more quiz examples,,Quality Control,Sequence analysis,2021-11,2021-11-07
2322,5,the qs and answers and clear explanation of each step,refer to which CLI tool commands can be used for each step,,Understanding Barcodes,Transcriptomics,2021-11,2021-11-08
2323,5,"easy tasks, everything worked",,,Quality Control,Sequence analysis,2021-11,2021-11-08
2324,5,,,,Reference-based RNA-Seq data analysis,Transcriptomics,2021-11,2021-11-09
2325,4,,,,Pre-processing of Single-Cell RNA Data,Transcriptomics,2021-11,2021-11-09
2326,4,Graphics,Putting animations and explanatory videos,,Quality Control,Sequence analysis,2021-11,2021-11-10
2327,5,Easy to follow and provides good grounding in Galaxy use,"Could the tutorial please be updated to avoid a common ""error"". The tool Group isn't recognised on usegalaxy.* services in the Tool Search as the search ID is tagged as ""grouping"". This is a fix in Galaxy core code but maybe a short work-around is to make mention in this tutorial that this tool can be searched for by the term ""grouping""",,Galaxy 101 for everyone,Introduction to Galaxy Analyses,2021-11,2021-11-10
2328,5,Yes,,,Metatranscriptomics analysis using microbiome RNA-seq data,Metagenomics,2021-11,2021-11-10
2329,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-11,2021-11-10
2330,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-11,2021-11-11
2331,4,,Some steps and pictures need to be updated for the current version of usegalaxy.,,Extracting Workflows from Histories,Using Galaxy and Managing your Data,2021-11,2021-11-12
2332,5,,,,2: RNA-seq counts to genes,Transcriptomics,2021-11,2021-11-15
2333,5,,,,From peaks to genes,Introduction to Galaxy Analyses,2021-11,2021-11-15
2334,5,Detailed Explanation,,,Introduction to Genomics and Galaxy,Introduction to Galaxy Analyses,2021-11,2021-11-15
2335,5,,,,Introduction to Genomics and Galaxy,Introduction to Galaxy Analyses,2021-11,2021-11-16
2336,5,,,,Galaxy 101,Introduction to Galaxy Analyses,2021-11,2021-11-16
2337,1,The programs were not available at Galaxy,,,DNA Methylation data analysis,Epigenetics,2021-11,2021-11-17
2338,5,super,nothing,,Galaxy 101 for everyone,Introduction to Galaxy Analyses,2021-11,2021-11-17
2339,3,Nice features and understandable handling for beginners,"Some data and tools are not at the described places; specifically genome annotation fasta and snpTools... snpEff is not existing, so I used snpEff eff; snpSift Annotate exists twice with different features. Description on how to create the pedigree file.",,Exome sequencing data analysis for diagnosing a genetic disease,Variant Analysis,2021-11,2021-11-17
2340,4,,,,Galaxy 101,Introduction to Galaxy Analyses,2021-11,2021-11-18
2341,5,,,,Metaproteomics tutorial,Proteomics,2021-11,2021-11-18
2342,5,It is structured well and well explained.,It might be helpful to mention the alternative tools and solutions,,Identification of somatic and germline variants from tumor and normal sample pairs,Variant Analysis,2021-11,2021-11-19
2343,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-11,2021-11-19
2344,5,"That goes step by step, shows and explains each section ",Give an example of where we can obtain the sequences or which links are the ones that can be used.,,Breve introducción a Galaxy - en español,Introduction to Galaxy Analyses,2021-11,2021-11-21
2345,5,The webpage is friendly ,"This is my first time on platform, so I need to explore more",,Breve introducción a Galaxy - en español,Introduction to Galaxy Analyses,2021-11,2021-11-21
2346,5,Lo amigable del programa,Incluir la aplicación de cada herramienta usada,,Breve introducción a Galaxy - en español,Introduction to Galaxy Analyses,2021-11,2021-11-22
2347,5,,,,Pre-processing of 10X Single-Cell RNA Datasets,Transcriptomics,2021-11,2021-11-22
2348,5,It is very simple and understandable,"add an image of where to locate ""See all histories""",,Breve introducción a Galaxy - en español,Introduction to Galaxy Analyses,2021-11,2021-11-22
2349,5,Very easy,Other practical tools.,,Breve introducción a Galaxy - en español,Introduction to Galaxy Analyses,2021-11,2021-11-22
2350,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-11,2021-11-23
2351,1,the concept.,"multiple issues with platform - loosing (they are not on the screen) history buttons, tag buttons, Once I brought the UCSC file in, I no longer can find the gz file - maybe it is supposed to be merged, but that is not what the tutorial showed.  There was a disclaimer that said 'results might be different' but there were no Chr 21 to rename on the file.  A little video showing what to expect might be more helpful than the icons in the description.  I see it was updated in early November, but as a real beginner,  this isn't any fun at all and very frustrating.",,From peaks to genes,Introduction to Galaxy Analyses,2021-11,2021-11-24
2352,5,It is very clear and easy to follow,"anything, it is what it states: a short introduction :) ",,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-11,2021-11-28
2353,5,"Very well explained, very visual",Maybe add some more information about the type of analysis we're running,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-11,2021-11-29
2354,4,,,,Quality Control,Sequence analysis,2021-11,2021-11-29
2355,5,,,,1: RNA-Seq reads to counts,Transcriptomics,2021-11,2021-11-29
2356,4,,,,Breve introducción a Galaxy - en español,Introduction to Galaxy Analyses,2021-11,2021-11-29
2357,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-11,2021-11-29
2358,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-11,2021-11-30
2359,5,How easy is to follow the instructions ,"Probably adding more languages, but the english it's totally understandable",,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-11,2021-11-30
2360,5,Very assertive and good guidance,More intuitive guidance,,Chloroplast genome assembly,Assembly,2021-11,2021-11-30
2361,5," The instructions are clear, I really enjoyed it thank you!",Notes for the versions of the tools so you can select them and go a little bit faster with the course. ,,Generating a single cell matrix using Alevin,Transcriptomics,2021-11,2021-11-30
2362,5,Everything! Very well organized and practical.,,,Downstream Single-cell RNA analysis with RaceID,Transcriptomics,2021-12,2021-12-01
2363,1,,,,Visualization of RNA-Seq results with Volcano Plot in R,Transcriptomics,2021-12,2021-12-02
2364,5,"La secuencia, además es sencillo y permite experimentar los ejercicios o comprobar y aprender la información teórica.","Quizás algunas indicaciones son susceptibles de mejorar, en virtud de mejorar el desarrollo del ejercicio directamente en los escritos; en los tutoriales quizás la unificacion de ellos, hay autores que son muy especificos y llevan de la mano al estudiante.",,Using dataset collections,Using Galaxy and Managing your Data,2021-12,2021-12-02
2365,1,,,,Visualization of RNA-Seq results with Volcano Plot,Transcriptomics,2021-12,2021-12-04
2366,5,"Stepwise, just in time learning and great links to additional information","(Having the video helped), but the steps were all included.",,16S Microbial Analysis with mothur (short),Metagenomics,2021-12,2021-12-05
2367,5,,,,Galaxy 101,Introduction to Galaxy Analyses,2021-12,2021-12-05
2368,5,"Easy to follow, good reasoning for each step, mostly successful results","For some reason, I can't get this to work with NMR-derived pdb files",,Running molecular dynamics simulations using GROMACS,Computational chemistry,2021-12,2021-12-07
2369,5,this tutorial explains CNN for image analysis completely and simply.,,,Image classification in Galaxy with fruit 360 dataset,Statistics and machine learning,2021-12,2021-12-08
2370,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2021-12,2021-12-08
2371,5,The course is elaborated with proper hands on  help and graphical representation. Its gives proper details for each and every concept.,,,Quality Control,Sequence analysis,2021-12,2021-12-08
2372,5,,,,Mapping,Sequence analysis,2021-12,2021-12-08
2373,5,You iluustrated the principles of each analysis step.,I am not sure where I can find the codes for practice.,,Visualization of RNA-Seq results with heatmap2,Transcriptomics,2021-12,2021-12-10
2374,5,,,,Mapping,Sequence analysis,2021-12,2021-12-13
